amount,date,description,category
165.22,2024-06-01,Train ticket to Bangalore,Transportation
42.88,2024-06-01,Morning espresso,Food & Beverage
228.55,2024-06-02,Weekly groceries at Spar,Groceries
95.12,2024-06-02,বিদ্যুৎ বিল জুন মাস,Utilities
1350.00,2024-06-03,New pair of sandals,Shopping
52.75,2024-06-03,Office parking for the day,Transportation
380.50,2024-06-04,General physician visit,Health
82.90,2024-06-04,Mobile internet pack,Utilities
585.90,2024-06-05,Dinner with family,Dining
18.50,2024-06-05,Local bus fare,Transportation
49.55,2024-06-06,Evening snacks,Groceries
28000.00,2024-06-06,June month apartment rent,Housing
70.15,2024-06-07,Postpaid mobile bill,Utilities
210.75,2024-06-07,New fiction novel,Entertainment
62.00,2024-06-08,Auto rickshaw ride,Transportation
102.30,2024-06-08,Fresh vegetables,Groceries
325.00,2024-06-09,Pharmacy purchase,Health
185.40,2024-06-09,Movie at Inox,Entertainment
435.65,2024-06-10,Office lunch,Food & Beverage
68.00,2024-06-10,Highway toll,Transportation
118.90,2024-06-11,Milk and bread,Groceries
820.00,2024-06-11,Summer t-shirts,Shopping
40.20,2024-06-12,Water supply bill,Utilities
235.00,2024-06-12,Salon visit,Personal Care
58.00,2024-06-13,Cycle repair,Transportation
192.40,2024-06-13,Seasonal fruits,Groceries
505.00,2024-06-14,Eye check-up,Health
98.60,2024-06-14,Music streaming subscription,Entertainment
395.80,2024-06-15,Weekend brunch with friends,Food & Beverage
78.00,2024-06-15,Ola cab ride,Transportation
142.50,2024-06-16,Household cleaning items,Household
750.00,2024-06-16,Blender for kitchen,Household
30.15,2024-06-17,Local train ticket,Transportation
498.70,2024-06-17,Dental appointment fee,Health
385.20,2024-06-18,Parking at commercial complex,Transportation
325.90,2024-06-18,Petrol for scooter,Transportation
99.10,2024-06-19,Swimming class fee,Fitness
105.60,2024-06-19,Diesel for generator,Transportation
48.30,2024-06-20,Metro card recharge,Transportation
455.85,2024-06-20,Home internet monthly bill,Utilities
320.50,2024-06-21,Weekly grocery shopping,Groceries
378.25,2024-06-21,Dinner at a new restaurant,Dining
25.95,2024-06-22,Prepaid mobile recharge,Utilities
505.30,2024-06-22,Tickets for a concert,Entertainment
438.90,2024-06-23,IMAX movie tickets,Entertainment
128.75,2024-06-23,CNG refill for auto,Transportation
112.40,2024-06-24,Car insurance renewal,Transportation
108.55,2024-06-24,July month rent advance,Housing
172.80,2024-06-25,Bike servicing,Transportation
285.95,2024-06-25,Prescribed medication,Health
238.60,2024-06-26,Local train monthly pass,Transportation
165.25,2024-06-26,E-book purchase,Entertainment
328.40,2024-06-27,New pair of trousers,Shopping
90.15,2024-06-27,Car cleaning,Transportation
168.70,2024-06-28,Eating out with friends,Dining
205.50,2024-06-28,Bought a summer dress,Shopping
248.25,2024-06-29,Train ticket to Goa,Transportation
415.60,2024-06-29,New sunglasses,Shopping
122.30,2024-06-30,Dinner at a casual diner,Dining
278.90,2024-06-30,Monthly groceries,Groceries
315.75,2024-07-01,Coffee at Starbucks,Food & Beverage
38.60,2024-07-01,Bought a hat,Shopping
322.45,2024-07-02,Broadband internet bill,Utilities
102.90,2024-07-02,Watched a play,Entertainment
48.90,2024-07-03,Bought a saree,Shopping
495.55,2024-07-03,Dinner at a high-end restaurant,Dining
502.10,2024-07-04,Parking at a stadium,Transportation
425.35,2024-07-04,Flight ticket booking,Transportation
172.90,2024-07-05,Mobile data top-up,Utilities
65.80,2024-07-05,Evening tea and snacks,Food & Beverage
365.55,2024-07-06,Car AC repair,Transportation
245.20,2024-07-06,Monthly yoga membership,Fitness
82.15,2024-07-07,Bike maintenance,Transportation
270.80,2024-07-07,August month rent,Housing
32.50,2024-07-08,Bought a comic book,Entertainment
475.90,2024-07-08,Dinner at an Italian restaurant,Dining
148.60,2024-07-09,Ordered food from Zomato,Dining
355.25,2024-07-09,Apartment maintenance fee,Housing
178.30,2024-07-10,Train ticket to Chennai,Transportation
282.50,2024-07-10,Airport taxi fare,Transportation
295.15,2024-07-11,Electricity bill online payment,Utilities
112.70,2024-07-11,Lunch at a cafe,Dining
505.80,2024-07-12,Annual gym subscription,Fitness
408.55,2024-07-12,August rent,Housing
485.90,2024-07-13,Bought a box set of novels,Entertainment
465.25,2024-07-13,Purchased a formal shirt,Shopping
318.70,2024-07-14,Weekend dinner outing,Dining
482.10,2024-07-14,Weekly grocery purchase,Groceries
62.45,2024-07-15,Parking at a mall,Transportation
118.30,2024-07-15,Local train smart card recharge,Transportation
38.90,2024-07-16,Scooter oil change,Transportation
182.75,2024-07-16,Pilates class subscription,Fitness
215.40,2024-07-17,Routine health check-up,Health
155.80,2024-07-17,Follow-up consultation,Health
432.55,2024-07-18,Brunch at a restaurant,Dining
202.60,2024-07-18,Rent for the month of August,Housing
162.90,2024-07-19,Aerobics class,Fitness
290.75,2024-07-19,Home broadband bill,Utilities
92.50,2024-07-20,Bought a biography,Entertainment
420.30,2024-07-20,Petrol for car,Transportation
58.15,2024-07-21,Bought a pair of earrings,Shopping
515.70,2024-07-21,Dinner with clients,Dining
405.95,2024-07-22,Lunch at a new cafe,Dining
122.40,2024-07-22,Bought health supplements,Health
18.70,2024-07-23,Evening coffee,Food & Beverage
428.60,2024-07-23,Outstation bus ticket,Transportation
375.45,2024-07-24,Bike fuel,Transportation
388.30,2024-07-24,Weekly grocery shopping,Groceries
405.95,2024-07-25,Online electricity bill payment,Utilities
58.20,2024-07-25,Ordered takeaway,Dining
205.10,2024-07-26,Watched a documentary online (rental),Entertainment
78.55,2024-07-26,Car wash and polish,Transportation
452.80,2024-07-27,Dinner at a rooftop restaurant,Dining
335.65,2024-07-27,Monthly apartment rent,Housing
185.30,2024-07-28,Groceries from local market,Groceries
52.95,2024-07-28,Evening snacks at street vendor,Food & Beverage
172.10,2024-07-29,Bought a handbag,Shopping
182.55,2024-07-29,Visited a dermatologist,Health
385.70,2024-07-30,Airport parking fee,Transportation
340.90,2024-07-30,September month rent,Housing
465.35,2024-07-31,Sunday brunch with family,Dining
255.20,2024-07-31,Monthly dance class fee,Fitness
